Name,Year,Watched Date,Rating,Is_Rewatch,Is_Liked,Has_Review,Film_URL
The Lobster,2015,Nov 2023 30,3.0,No,No,Yes,/film/the-lobster/
Triangle,2009,Nov 2023 30,3.5,No,No,Yes,/film/triangle-2009/
Napoleon,2023,Nov 2023 26,2.5,No,No,No,/film/napoleon-2023/
Five Nights at Freddy's,2023,Nov 2023 21,2.0,No,No,Yes,/film/five-nights-at-freddys/
X,2022,Nov 2023 19,3.5,No,No,No,/film/x-2022/
Scott Pilgrim Takes Off,2023,Nov 2023 18,4.0,No,No,Yes,/film/scott-pilgrim-takes-off-2023/
The Hunger Games: The Ballad of Songbirds & Snakes,2023,Nov 2023 18,4.5,No,No,Yes,/film/the-hunger-games-the-ballad-of-songbirds-snakes/
Pain Hustlers,2023,Nov 2023 18,2.0,No,No,No,/film/pain-hustlers/
The Killer,2023,Nov 2023 18,4.0,No,No,Yes,/film/the-killer-2023/
Anacondas: The Hunt for the Blood Orchid,2004,Nov 2023 15,2.0,No,No,No,/film/anacondas-the-hunt-for-the-blood-orchid/
Sanctuary,2022,Nov 2023 14,3.0,No,No,Yes,/film/sanctuary-2022/
Se7en,1995,Nov 2023 11,3.5,No,No,No,/film/se7en/
Ghosted,2023,Nov 2023 11,3.0,No,No,No,/film/ghosted-2023/
The Marvels,2023,Nov 2023 10,0.5,No,No,No,/film/the-marvels/
The Craigslist Killer,2011,Nov 2023 08,1.5,No,No,Yes,/film/the-craigslist-killer/
The Marsh King's Daughter,2023,Nov 2023 03,3.0,No,No,No,/film/the-marsh-kings-daughter/
Mr. & Mrs. Smith,2005,Nov 2023 03,3.0,No,No,No,/film/mr-mrs-smith-2005/
Last Night in Soho,2021,Nov 2023 01,3.0,No,No,Yes,/film/last-night-in-soho/
Gerald's Game,2017,Oct 2023 29,3.5,No,No,Yes,/film/geralds-game/
Sister Death,2023,Oct 2023 29,2.5,No,No,Yes,/film/sister-death/
Dungeons & Dragons: Honor Among Thieves,2023,Oct 2023 29,3.5,No,No,No,/film/dungeons-dragons-honor-among-thieves/
Killers of the Flower Moon,2023,Oct 2023 28,3.0,No,No,No,/film/killers-of-the-flower-moon/
The Forest,2016,Oct 2023 20,1.0,Yes,No,Yes,/film/the-forest-2016/
The Blair Witch Project,1999,Oct 2023 20,4.0,No,No,Yes,/film/the-blair-witch-project/
Martyrs,2008,Oct 2023 20,1.5,No,No,Yes,/film/martyrs/
Anatomy of a Fall,2023,Oct 2023 19,3.0,No,No,Yes,/film/anatomy-of-a-fall/
The Devil on Trial,2023,Oct 2023 18,2.5,No,No,Yes,/film/the-devil-on-trial/
Midsommar,2019,Oct 2023 18,3.5,No,Yes,Yes,/film/midsommar/
"Are You There God? It's Me, Margaret.",2023,Oct 2023 18,3.0,No,No,No,/film/are-you-there-god-its-me-margaret/
Set It Up,2018,Oct 2023 17,2.5,No,No,No,/film/set-it-up/
Veronica,2017,Oct 2023 17,3.0,No,No,No,/film/veronica-2017-1/
Get Out,2017,Oct 2023 17,3.5,No,No,No,/film/get-out-2017/
The Fall of the House of Usher,2023,Oct 2023 16,3.0,No,No,No,/film/the-fall-of-the-house-of-usher-2023/
Totally Killer,2023,Oct 2023 15,3.5,No,No,No,/film/totally-killer/
After,2019,Oct 2023 15,2.0,No,No,No,/film/after-2019/
The Hating Game,2021,Oct 2023 15,2.5,No,No,No,/film/the-hating-game/
Dumb Money,2023,Oct 2023 13,3.0,No,No,No,/film/dumb-money/
The Bad Guys,2022,Oct 2023 12,3.5,No,No,No,/film/the-bad-guys-2022/
Moneyball,2011,Oct 2023 12,4.0,No,No,No,/film/moneyball/
Mean Girls,2004,Oct 2023 10,3.0,No,No,No,/film/mean-girls/
Fair Play,2023,Oct 2023 10,1.5,No,No,No,/film/fair-play-2023/
The Creator,2023,Sep 2023 29,4.0,No,No,No,/film/the-creator-2023/
Saw X,2023,Sep 2023 28,,No,No,No,/film/saw-x/
Love at First Sight,2023,Sep 2023 24,2.5,No,No,No,/film/love-at-first-sight-2023/
Ready or Not,2019,Sep 2023 24,3.5,No,No,No,/film/ready-or-not-2019/
Lost in Translation,2003,Aug 2023 15,2.5,No,No,No,/film/lost-in-translation/
